reference,trial_name,source,country ,setting,study year,participants,intervention,duration of intervention,intervention combined with hygiene and/or sanitation component,baseline water/water in control group,provided safe water storage,effect estimate (on diarrhea),lower 95% confidence interval,upper 95% confidence interval,study evaluating a specific intervention vs. survey data analyses,quality rating,transition (according to Figure 1 and Table 2),number of participants,notes,compliance,compliance_definition,intervention_start,mortality_reported,diarrhea_prevalence,baseline_water_contamination,notes_new,included
"Lule, J. R., J. Mermin, J. P. Ekwaru, S. Malamba, R. Downing, R. Ransom, D. Nakanjako, W. Wafula, P. Hughes, R. Bunnell, F. Kaharuza, A. Coutinho, A. Kigozi and R. Quick (2005). ""Effect of home-based water chlorination and safe storage on diarrhea among persons with human immunodeficiency virus in Uganda."" American Journal of Tropical Medicine & Hygiene 73(5): 926-933.",,"Wolf et al., 2018",Uganda,rural,2005,children<=5years,"POU chlorination, safe storage",19,no,improved,yes,0.9,0.51,1.59,study evaluating a specific intervention,0.67,w,"761 HIV negative people in intervention, 760 HIV negative people in control group, 458 households in total",,,not reported,2005,0,,,,
"Maeusezahl D. et al. Solar drinking water disinfection (SODIS) to reduce childhood diarrhoea in rural Bolivia: a cluster-randomized, controlled trial. PLoS Med 2009; 6: e1000125.",,"Wolf et al., 2018",Bolivia,rural,2009,children<=5years,"POU, solar treatment, hygiene education",12,yes,improved,no,0.91,0.64,1.3,study evaluating a specific intervention,0.33,X,"484 households, 819 children < 5",,0.321,with SODIS(Solar drinking water disinfection),2009,0,,,,
"Mahfouz, A. A. R., M. Abdel-Moneim, R. A. G. Al-Erian and O. M. Al-Amari (1995). ""Impact of chlorination of water in domestic storage tanks on childhood diarrhoea: A community trial in the rural areas of Saudi Arabia."" Journal of Tropical Medicine and Hygiene 98(2): 126-130.",,"Wolf et al., 2018",Saudi Arabia,rural,1995,children<=5years,"POU, chlorination",6,no,unimproved,no,0.55,0.29,1.04,study evaluating a specific intervention,0.25,d,"311 children < 5 years (among intervention households, among controls) among 171 families",,,not reported,1995,0,,,,
"Majuru, B., M. M. Mokoena, P. Jagals and P. R. Hunter (2011). ""Health impact of small-community water supply reliability."" International Journal of Hygiene and Environmental Health 214(2): 162-166.",,"Wolf et al., 2018",South Africa,rural,2007,all ages,community piped water supply,8,no,unimproved,no,0.43,0.24,0.79,study evaluating a specific intervention,0.08,a,"community 1, 234 individuals; community 2, 173 individuals; reference community 146 individuals",,,not reported,2007,0,,,,
"McGuigan, K. G., P. Samaiyar, M. du Preez and R. M. Conroy (2011). ""High compliance randomized controlled field trial of solar disinfection of drinking water and its impact on childhood diarrhea in rural Cambodia."" Environmental Science & Technology 45(18): 7862-7867.",,"Wolf et al., 2018",Cambodia,rural,2009,children<=5years,"POU, solar treatment",12,no,improved,no,0.43,0.28,0.66,study evaluating a specific intervention,0.5,X,964 children in 782 households,combined effect estimates for dysenteria and non-dysenteria days,,not reported ,2009,0,,,,
"Mengistie B, Berhane Y, Worku A. Household water chlorination reduces incidence of diarrhea among under-five children in rural Ethiopia: a cluster randomized controlled trial. PloS One. 2013;8(10):e77887.","Mengistie et al., 2013","Wolf et al., 2018",Ethiopia,rural,2011,children<=5years,"POU, chlorination",4,no,unimproved,no,0.42,0.36,0.48,study evaluating a specific intervention,0.5,d,"36 clusters, 569 households, 845 children < 5",,0.8,two unannounced and regular weekly visits using free residual chlorine measured with residual chlorine test kit,2011,1,,,,1
"Messou, E., S. V. Sangare, R. Josseran, C. l. Corre and J. Guelain (1997). ""Effect of hygiene, water supply and oral rehydration on diarrhoea in children under five years in southern Cote d'Ivoire."" Bulletin de la Societe de Pathologie Exotique 90(1): 44-47.",,"Wolf et al., 2018",Ivory Coast,rural,1988,children<=5years,"community water supply, hygiene education, latrine intervention",24,yes,unimproved,no,0.71,0.56,0.91,study evaluating a specific intervention,0.17,a,"560 intervention and 700 control at baseline. 327 intervention and 658 in control in 1990, 474 in intervention and 650 in control in 1992",combined effect estimates for two different time points,0.55,,1988,0,,,,
Novak L. The Impact of Access to Water on Child Health in Senegal. Rev Dev Econ. 2014;18(3):431-444.,,"Wolf et al., 2018",Senegal,mixed,2005,children<=5years,piped water to premise,-,no,unimproved,no,0.59,0.44,0.79,survey data analysis,0.25,b,5973 children <5,combined effect estimates of piped into dwelling and piped into yard,,,2005,0,,,,
"Opryszko, M. C., S. W. Majeed, P. M. Hansen, J. A. Myers, D. Baba, R. E. Thompson and G. Burnham (2010). ""Water and hygiene interventions to reduce diarrhoea in rural Afghanistan: a randomized controlled study."" Journal of Water & Health 8(4): 687-702.",,"Wolf et al., 2018",Afghanistan,rural,2005,children<=5years,"POU, chlorination, safe storage, improvement of community water supply, hygiene education",4,yes,unimproved,yes,0.65,0.4,1.03,study evaluating a specific intervention,0.42,d,"2040 people, 279 households in intervention, 2377 people, 330 households in control group",,0.82,Self-reported use of Clorin during the previous two weeks increased across all groups from baseline to follow-up with households reporting the following proportional usage,2005,0,,,,
"Quick, R. E., A. Kimura, A. Thevos, M. Tembo, I. Shamputa, L. Hutwagner and E. Mintz (2002). ""Diarrhea prevention through household-level water disinfection and safe storage in Zambia."" American Journal of Tropical Medicine & Hygiene 66(5): 584-589.",,"Wolf et al., 2018",Zambia,urban,1998,all ages,"POU, chlorination, safe storage, hygiene education",2,yes,unimproved,yes,0.52,0.3,0.9,study evaluating a specific intervention,0.33,d,1584 persons of all ages from 260 households,,0.717,"Testing for free and total chlorine residuals in stored water in intervention households revealed that compliance, defined as any detectable total chlorine residual in the water, ranged from 71.7% to 94.7% during four rounds of sampling",1998,0,,,,
"Quick, R. E., L. V. Venczel, E. D. Mintz, L. Soleto, J. Aparicio, M. Gironaz, L. Hutwagner, K. Greene, C. Bopp, K. Maloney, D. Chavez, M. Sobsey and R. V. Tauxe (1999). ""Diarrhoea prevention in Bolivia through point-of-use water treatment and safe storage: a promising new strategy."" Epidemiology & Infection 122(1): 83-90.",,"Wolf et al., 2018",Bolivia,urban,1994,children<=5years,"POU, chlorination, safe storage",5,no,unimproved,yes,0.75,0.53,1.05,study evaluating a specific intervention,0.58,d,791 persons of all ages from 127 households,,0.69,,1994,0,,,"reported use of vessel(98%), observed use of vessel (92% start 69% end), use of disinfectant in water samples from vessel (95% start, 70%end), concurrent use of vessel and disinfectant (69% start, 57% end)",
"Rai B, Pal R, Kar S, Tsering DC. Solar disinfection improves drinking water quality to prevent diarrhea in under-five children in sikkim, India. J Glob Infect Dis 2010; 2: 221-5.",,"Wolf et al., 2018",India,urban,2010,children<=5years,"POU, solar treatment",5,no,unimproved,no,0.24,0.1,0.6,study evaluating a specific intervention,0.25,e,"136 children <5, 102 households",combined effect estimates of timepoints 1 and 2,0.321,Mean compliance with SODIS(solar disinfection),2010,0,31.43% in control group,,,
"Reller, M. E., C. E. Mendoza, M. B. Lopez, M. Alvarez, R. M. Hoekstra, C. A. Olson, K. G. Baier, B. H. Keswick and S. P. Luby (2003). ""A randomized controlled trial of household-based flocculant-disinfectant drinking water treatment for diarrhea prevention in rural Guatemala."" American Journal of Tropical Medicine & Hygiene 69(4): 411-419.","Reller et al., 2003","Wolf et al., 2018",Guatemala,rural,2001,children<=5years,"POU, chlorination, flocculation, safe storage",12,no,unimproved,no,0.83,0.64,1.06,study evaluating a specific intervention,0.5,d,"199 intervention, 96 control households",combined effect estimate for flocculant-disinfectant plus vessel and bleach plus vessel,0.36,"On monthly unannounced visits, drinking water had > 0.1 mg/L of free chlorine in 2% of control households, 27% of flocculant-disinfectant alone households",2001,1,13.2% in control children (?12m),Concentration of E. coli per 100ml: 63,,1
"Rose, A., S. Roy, V. Abraham, G. Holmgren, K. George, V. Balraj, S. Abraham, J. Muliyil, A. Joseph and G. Kang (2006). ""Solar disinfection of water for diarrhoeal prevention in southern India."" Archives of Disease in Childhood 91(2): 139-141.",,"Wolf et al., 2018",India,urban,2002,children<=5years,"POU, solar treatment, hygiene education",6,yes,improved,no,0.64,0.48,0.86,study evaluating a specific intervention,0.42,X,100 children in each arm,,0.14,study group needing intravenous rehydration,2002,0,2.7 child year in control groups,>180 E Coli/ 100 ml,,
"Roushdy R, Sieverding M, Radwan H. The impact of water supply and sanitation on child health: Evidence from Egypt. New York, USA: Population Council; 2012. (Poverty, Gender, and Youth Working Paper). Report No.: 24.",,"Wolf et al., 2018",Egypt,mixed,2008,children<=5years,continuous piped water to premise,-,no,improved,no,0.74,0.58,0.93,survey data analysis,0.25,u,10581 children <5,,,not reported,2008,0,8.49% children under 5,,,
"Ryder, R. W., W. C. Reeves and N. Singh (1985). ""The childhood health effects of an improved water supply system on a remote Panamanian island."" American Journal of Tropical Medicine and Hygiene 34(5): 921-924.",,"Wolf et al., 2018",Panama,rural,1979,children<=5years,piped water to premise,7,no,unimproved,no,1.34,1,1.8,study evaluating a specific intervention,0.33,b,178 children,,,not reported,1979,0,174 episodes/ child year,45% of stored water was contaminated with E.Coli,,
"Semenza JC, Roberts L, Henderson A, Bogan J, Rubin CH. Water distribution system and diarrheal disease transmission: a case study in Uzbekistan. Am J Trop Med Hyg 1998; 59: 941-6.","Semenza et al., 1998","Wolf et al., 2018",Uzbekistan,urban,1998,children<=5years,"POU, chlorination, safe storage, hygiene education",2,yes,unimproved,yes,0.33,0.19,0.57,study evaluating a specific intervention,0.58,d,"1583 persons of all ages from 240 households, half with access to piped water (first control group) and half without (of which 62 received intervention, and 58 served as a second control group); these included 344 children < 5",,0.73,"Interviewers regularly monitored compliance in the inter-vention group by testing the water in the containers for bothfree and combined chlorine levels with the N,N, diethyl- p -phenylene diamine sulfate (DPD) colorimetric method, andby checking the remaining volume of the concentrated chlo-rine solution.",1996,1,179.2/ 1000 in control,not reported (not a water treatment study),,1
"Sobsey, M. D., T. Handzel and L. Venczel (2003). ""Chlorination and safe storage of household drinking water in developing countries to reduce waterborne disease."" Water Science & Technology 47(3): 221-228.",,"Wolf et al., 2018",Bangladesh,urban,2003,children<=5years,"POU, chlorination, safe storage",8,no,unimproved,yes,0.78,0.73,0.83,study evaluating a specific intervention,0.42,d,275 households,,,not reported,2003,0,24.3/ 1000 days among children under age 5; 24.8/ 1000 days aggregate,29.1 CFU/ 100 ml of EColi (Bangladesh); 80000 CFU/ 100 ml (Bolivua),,
"Stauber, C. E., B. Kominek, K. R. Liang, M. K. Osman and M. D. Sobsey (2012). ""Evaluation of the impact of the plastic BioSand filter on health and drinking water quality in rural Tamale, Ghana."" International Journal of Environmental Research & Public Health [Electronic Resource] 9(11): 3806-3823.",,"Wolf et al., 2018",Ghana,rural,2008,children<=5years,"POU, biosand filter",4,no,unimproved,no,0.26,0.07,0.89,study evaluating a specific intervention,0.33,f,"2043 individuals, of which 440 were children < 5, from 260 households",,,not reported,2008,0,"2% - all, 7.8% under age 5",832 MPN E. Coli/ 100ml,,
"Stauber, C. E., E. R. Printy, F. A. McCarty, K. R. Liang and M. D. Sobsey (2012). ""Cluster randomized controlled trial of the plastic BioSand Water filter in Cambodia."" Environmental Science & Technology 46(2): 722-728.",,"Wolf et al., 2018",Cambodia,rural,2008,children<=5years,"POU, biosand filter",5,no,improved,no,0.45,0.26,0.77,study evaluating a specific intervention,0.33,y,"189 households, 1147 individuals, 242 children < 5",,,not reported,2008,0,3.7% (approx),"45.5 E. Coli/ 100 ml (stored water), 27.5 E. Coli/ 100 ml - drinking water",,
"Stauber, C. E., G. M. Ortiz, D. P. Loomis and M. D. Sobsey (2009). ""A randomized controlled trial of the concrete biosand filter and its impact on diarrheal disease in Bonao, Dominican Republic.[Erratum appears in Am J Trop Med Hyg. 2009 Apr;80(4):686]."" American Journal of Tropical Medicine & Hygiene 80(2): 286-293.",,"Wolf et al., 2018",Dominican Republic,mixed,2009,children<=5years,"POU, biosand filter, safe storage",6,no,unimproved,yes,0.47,0.36,0.61,study evaluating a specific intervention,0.58,f,"167 households, 907 individuals, 243 children < 5",combined effect estimates for children <2 and children 2-4 years old,,not reported,2009,0,0.17,22 E. Coli/ 100 ml,,
"Tiwari, S. S. K., W. P. Schmidt, J. Darby, Z. G. Kariuki and M. W. Jenkins (2009). ""Intermittent slow sand filtration for preventing diarrhoea among children in Kenyan households using unimproved water sources: Randomized controlled trial."" Tropical Medicine and International Health 14(11): 1374-1382.",,"Wolf et al., 2018",Kenya,rural,2007,children<=5years,"POU, biosand filter",6,no,unimproved,no,0.49,0.24,1.02,study evaluating a specific intervention,0.5,f,"387 individuals, of which 114 were children < 5, from 60 households",,,not reported,2007,0,"9.7%(overal,amongchildren<5%), 6.4% in control, 12.5% in treatment - baseline",88.9 CFU/ 100 ml,,
"Tonglet R, Isu K, Mpese M, et al. Can improvements in water supply reduce childhood diarrhea? Health policy and planning. 1992; 7(3): 286-293",,"Wolf et al., 2018",Democratic Republic of the Kongo,rural,1987,children<=5years,community improved water supply,24,no,unimproved,no,0.94,0.89,1,study evaluating a specific intervention,0.17,a,"368 in control, 538 in intervention",,0.83,surveyed over one-year period completed the study,1987,0,0.091,not reported (not a water treatment study),,
Universidad Rafael Landivar. Contra la morbilidad infantile: filtros artesanales y educacion. Estudios sociales IV epoca.1995; 23 1-66.,,"Wolf et al., 2018",Guatemala,mixed,1999,children<=5years,"POU, ceramic filter",11,no,unimproved,yes,0.37,0.1,1.43,study evaluating a specific intervention,0.42,f,"total study: 1120 children < 5 years (265 and 289 allocated to thewater quality intervention arms, 297 to an education only arm, and 269 to the control arm) from680 families from three demographic regions","effect estimates are for different locations, Costa Sur",0.9,,1999,0,,,,
Universidad Rafael Landivar. Contra la morbilidad infantile: filtros artesanales y educacion. Estudios sociales IV epoca.1995; 23 1-66.,,"Wolf et al., 2018",Guatemala,mixed,1999,children<=5years,"POU, ceramic filter",11,no,improved,yes,0.63,0.19,2.11,study evaluating a specific intervention,0.42,y,"total study: 1120 children < 5 years (265 and 289 allocated to thewater quality intervention arms, 297 to an education only arm, and 269 to the control arm) from680 families from three demographic regions","effect estimates are for different locations, Areas Marginales",0.9,,1999,0,,,,
Universidad Rafael Landivar. Contra la morbilidad infantile: filtros artesanales y educacion. Estudios sociales IV epoca.1995; 23 1-66.,,"Wolf et al., 2018",Guatemala,rural,1999,children<=5years,"POU, ceramic filter",11,no,improved,yes,0.16,0,10.97,study evaluating a specific intervention,0.42,y,"total study: 1120 children < 5 years (265 and 289 allocated to thewater quality intervention arms, 297 to an education only arm, and 269 to the control arm) from680 families from three demographic regions","effect estimates are for different locations, Altiplano",0.9,,1999,0,,,,
"Wang, Z. S., D. S. Shepard and Y. C. Zhu (1989). ""Reduction of enteric infectious disease in rural China by providing deep-well tap water."" Bulletin of the World Health Organization 67(2): 171-180.",,"Wolf et al., 2018",China,rural,1983,all ages,piped water to premise,30,no,unimproved,no,0.61,0.58,0.65,study evaluating a specific intervention,0.42,b,19687 inhabitants in 12 villages,,,not reported,1983,0,280/1000 children,3551 per ml (bacterial count odf surface water samples),,
"Xiao S, Lin C, Chen K. [Evaluation of effectiveness of comprehensive control for diarrhea diseases in rural areas of east Fujian and analysis of its cost-benefit]. Zhonghua Yu Fang Yi Xue Za Zhi. 1997 Jan;31(1):40-1.",,"Wolf et al., 2018",China,rural,1991-1993,all ages,"community improved water supply, hygiene education",36,yes,unimproved,no,0.45,0.43,0.47,study evaluating a specific intervention,0,a,4649 people of all ages,,,not reported,1991,0,,,Article in chinese,
"Boisson, Sophie, Mbela Kiyombo, Larry Sthreshley, Saturnin Tumba, Jacques Makambo, and Thomas Clasen. ""Field assessment of a novel household-based water filtration device: a randomised, placebo-controlled trial in the Democratic Republic of Congo."" PloS one 5, no. 9 (2010): e12613.","Boisson et al., 2010","Clasen et al., 2015","Congo, Dem. Rep.",rural,,,,,,,,,,,,,,,,0.68,,2008,1,,,,
"Peletz, M. Simunyama, K. Sarenje, K. Baisley, S. Filteau, P. Kelly,T. Clasen, Assessingwater filtration and safe storage in households with young children of HIV-positive mothers: arandomized, controlled trial in Zambia.PLoS One.7(10), e46548 (2012).doi:10.1371/journal.pone.0046548.","Peletz et al., 2012","Clasen et al., 2015",Zambia,rural,,,"POU, household filtration",12,,unimproved,,0.47,0.3,0.73,,,,120 households with children <2 years (100 with HIV-positive mothers and 20 with HIV-negative mothers to reduce stigma of participation),,0.87,Filter use was particularly high in our study; households were using the filters in 96% of visits and use was further confirmed with water quality testing in 87% of visits.,2010,1,,,compliance rate: confirmed users from household visits (p.5),1
"Humphrey, M. N. N. Mbuya, R. Ntozini, L. H. Moulton, R. J. Stoltzfus, N. V.Tavengwa, K. Mutasa, F. Majo, B. Mutasa, G. Mangwadu, C. M. Chasokela, A. Chigumira, B.Chasekwa, L. E. Smith, J. M. Tielsch, A. D. Jones, A. R. Manges, J. A. Maluccio, A. J.Prendergast, Sanitation Hygiene Infant Nutrition Efficacy (SHINE) Trial Team, Independent andcombined effects of improved water, sanitation, and hygiene, and improved complementary feeding, on child stunting and anaemia in rural Zimbabwe: a cluster-randomised trial.LancetGlob Health.7, pp. e132-e147 (2019)","Humphrey et al., 2019","Waddington et al., 2023",Zimbabwe,rural,,,"chlorination, sanitation, handwashing, nutrition, hygiene education",29,,unimproved,,1.18,1.28,2.79,,,,"5280 pregnant women, 3686 children (884 in standard care, 893 in the IYCF group, 918 in the WASH group, and 991 in the IYCF plus WASH group)",,0.58,Avaliable for visit,2012,1,,,Neither intervention reduced the prevalence of diarrhoea at 12 or 18 months,1
"Luby, M. Rahman, B. F. Arnold, L. Unicomb, S.Ashraf, P. J. Winch, C. P. Stewart, F.Begum, F. Hussain, J. Benjamin-Chung, E. Leontsini, A. M. Naser, S. M. Parvez, A. E.Hubbard, A. Lin, F. A. Nizame, K. Jannat, A. Ercumen, P. K. Ram, K. K. Das, J. Abedin, T. F.Clasen, K. G. Dewey, L. C. Fernald, C.Null, T. Ahmed, J. M. Colford Jr, Effects of water quality, sanitation, handwashing, and nutritional interventions on diarrhoea and child growth inrural Bangladesh: a cluster randomised controlled trial. Lancet Glob Health.6(3), e302-e315(2018). doi:10.1016/S2214-109X(17)30490-4","Luby et al., 2018","Waddington et al., 2023",Bangladesh,rural,,,"POU, chlorination, safe storage",14,,unimproved,,0.89,0.7,1.13,,,,"2080 compounds (i.e. patrilineal families sharing a common courtyard) (control:1382, water:698, sanitation:696, handwashing:688, WASH:702, nutrition:699, WASH+nutrition:686)",,0.81,"Adherence indicators for sanitation, handwashing, and nutrition from year 1 to year 3",2012,1,,,compliance rate: the % whose stored drinking water has detectable free chlorine (>0·1 mg/L) after 2 years (p.308),1
"Morris, Jamae Fontain, Jennifer Murphy, Kirsten Fagerli, Chandra Schneeberger, Peter Jaron, Fenny Moke, Jane Juma, et al. 2018. ""A Randomized Controlled Trial to Assess the Impact of Ceramic Water Filters on Prevention of Diarrhea and Cryptosporidiosis in Infants and Young Children - Western Kenya, 2013."" The American Journal of Tropical Medicine and Hygiene 98 (5): 1260–68. https://doi.org/10.4269/ajtmh.17-0731.","Morris et al., 2018","Waddington et al., 2023",Kenya,rural,2013,Children4-10mos,Ceramic filter,8,,unimproved,,0.86,0.64,1.16,study evaluating a specific intervention,,,240 households,,0.71,"Damaged water filters replaced within seven days, water filtrate samples in months 1, 3 and 6, retentate sample from select households at month 6",2013,1,,,,1
"Null, C. P. Stewart, A. J. Pickering, H. N. Dentz, B. F. Arnold, C. D. Arnold, J. Benjamin-Chung, T. Clasen, K. G. Dewey, L. C. H. Fernald, A. E. Hubbard, P. Kariger, A. Lin, S. P. Luby,A. Mertens, S. M. Njenga, G.Nyambane, P. K. Ram, J. M. Colford Jr, Effects of water quality,sanitation, handwashing, and nutritional interventions on diarrhoea and child growth in ruralKenya: a cluster-randomised controlled trial.Lancet Glob Health.6(3), e316-e329 (2018).doi:10.1016/S2214-109X(18)30005-6","Null et al., 2018","Waddington et al., 2023",Kenya,rural,,,"POU, chlorination, safe storage",19,,unimproved,,1.02,0.92,1.14,,,,"2857 control/water compounds (i.e. patrilineal families sharing a common courtyard) (control:1913, water:904, sanitation:892, handwashing:917, WASH:912, nutrition:843, WASH+nutrition:921)",,0.3,"Adherence indicators for sanitation, handwashing, and nutrition from 1-year and 2-years follow-up",2012,1,,,compliance rate: the % whose stored drinking water has detectable free chlorine (>0·1 mg/L) after 2 years (p.323),1
Quick et al. (1999),"Quick et al., 1999",New addition,Bolivia,mixed,,,chlorination,150,,improved,,0.55,0.43,0.69,,,,,,0.71,proportion of stored water samples with detectable levels of total chlorine i,1994,1,,,,1
Dupas et al. (2020),"Dupas et al., 2021",New addition,Malawi,rural,,,chlorination,61,,unimproved,,0.907609,0.8272116,0.9958203,,,,,,0.4,household with chlorine bottles(strong rationing),2018,1,,,,1
"Haushofer, M. Kremer, R. Maertens, B. Tan, Water treatment and child survival. (2020). (working paper available online)","Haushofer et al., 2020",New addition,Kenya,rural,,,chlorination,10,,unimproved,,0.7800105,0.6108525,0.9960119,,,,"1514 households, 2103 mothers, 4009 children, 132 villages (65 villages intervention, 67 villages control)",,0.23,,2012,1,,,"Take data from Josh and Orkin (2018), and use a survey conducted after that study; Study measured how the provision of dilute chlorine solution reduced under-5 mortality, which is what I put as the effect estimate",1
"Kirby, C. L. Nagel, G. Rosa, L. D. Zambrano, S. Musafiri, J. D. Ngirabega, E. A.Thomas, T. Clasen, Effects of a large-scale distribution of water filters and natural draft rocket-style cookstoves on diarrhea and acute respiratory infection: A cluster-randomized controlledtrial in Western Province, Rwanda.PLoS Med.16(6), e1002812 (2019).doi:10.1371/journal.pmed.1002812","Kirby et al., 2019",New addition,Rwanda,rural,,,"water filter, biomass cookstoves",20,,unimproved,,0.71,0.59,0.87,,,,1582 households (87 intervention clusters containing 98 villages and 87 control clusters containing 101 villages; took 10 households from each cluster),,0.7,households were observed to have water in their filters at follow-up,2014,1,,,,1
